2177|Blade|0|1|Manufacture[Item]|Iron|N/A
523|Charcoal|0|1|Manufacture[Item]|Wood|N/A
336|Cotton Thread|0|1|Manufacture[Item]|Flower|N/A
368|Cotton Wool|0|1|Manufacture[Item]|Grass|N/A
606|Devil's Spar Piece|0|1|Manufacture[Item]|Magic|N/A
1585|Firewood|0|1|Manufacture[Item]|Wood|N/A
360|Fishing Thread|0|1|Manufacture[Item]|Grass|N/A
1586|Front Sight|0|1|Manufacture[Item]|Iron|N/A
2310|Great Driver|0|1|Manufacture[Tool]|Iron|N/A
2141|Iron Fishing Thread|0|1|Manufacture[Item]|Iron|N/A
325|Linen Thread|0|1|Manufacture[Item]|Grass|N/A
1581|Little Ore Powder|0|1|Manufacture[Item]|Pure Iron|N/A
645|Nail|0|1|Manufacture[Item]|Rock|N/A
77|Needle|0|1|Manufacture[Tool]|Iron|N/A
405|Paper|0|1|Manufacture[Item]|Grass|N/A
1111|Plastic|0|1|Manufacture[Item]|Iron|N/A
2459|Pliers|0|1|Manufacture[Tool]|Iron|N/A
1717|Precision Circuit|0|1|Manufacture[Item]|Iron|N/A
220|Rod|0|1|Manufacture[Item]|Wood|N/A
2438|Rope Saw|0|1|Manufacture[Tool]|Iron|N/A
176|Small Wooden Gear|0|1|Manufacture[Item]|Wood|N/A
709|Stone Knife|0|1|Manufacture[Tool]|Iron|N/A
899|Valving|0|1|Manufacture[Item]|Iron|N/A
2142|Wisdom Crystal|0|1|Manufacture[Item]|Iron|N/A
165|Wooden Hook|0|1|Manufacture[Item]|Wood|N/A
1385|Wooden Pulley|0|1|Manufacture[Item]|Wood|N/A
72|Wooden Saw|0|1|Manufacture[Tool]|Iron|N/A
1020|360 Periscope|0|2|Manufacture[Item]|Grass|N/A
1025|80mm Special Glass|0|2|Manufacture[Item]|Iron|N/A
760|Alloy|0|2|Manufacture[Item]|Iron|N/A
1518|Big Linen Cloth|0|2|Manufacture[Item]|Grass|N/A
942|Capacitance|0|2|Manufacture[Item]|Iron|N/A
3236|Copper|0|2|Manufacture[Item]|Copper|N/A
350|Cotton Cloth|0|2|Manufacture[Item]|Flower|N/A
914|Dry Batteries|0|2|Manufacture[Item]|Iron|N/A
718|Filament|0|2|Manufacture[Item]|Iron|N/A
1839|Filtering Circuit|0|2|Manufacture[Item]|Iron|N/A
710|Glass|0|2|Manufacture[Item]|Silicon|N/A
1079|Ice Brick|0|2|Manufacture[Item]|Water (Type 1)|N/A
1297|Iron Hook|0|2|Manufacture[Item]|Iron|N/A
755|Iron Shell|0|2|Manufacture[Item]|Iron|N/A
726|Lamp|0|2|Manufacture[Item]|Silicon|N/A
1041|Leather Bag|0|2|Manufacture[Item]|Leather|N/A
1927|Link Gear Unit|0|2|Manufacture[Item]|Iron|N/A
1376|Medium Wooden Gear|0|2|Manufacture[Item]|Grass|N/A
378|Nylon|0|2|Manufacture[Item]|Nylon|N/A
3256|Original Rubber|0|2|Manufacture[Item]|Iron|N/A
2145|Polish Key|0|2|Manufacture[Item]|Iron|N/A
974|Resistance|0|2|Manufacture[Item]|Iron|N/A
1644|Rivet|0|2|Manufacture[Item]|Rock|N/A
242|Rubber|0|2|Manufacture[Item]|Iron|N/A
2198|Small Fuel Tank|0|2|Manufacture[Item]|Iron|N/A
3239|Special Nail|0|2|Manufacture[Item]|Rock|N/A
1344|Winding|0|2|Manufacture[Item]|Iron|N/A
3243|Wire|0|2|Manufacture[Item]|Iron|N/A
90|Wooden Axle|0|2|Manufacture[Item]|Wood|N/A
1301|Wooden Winch|0|2|Manufacture[Item]|Wood|N/A
1370|Big Wooden Gear|0|3|Manufacture[Item]|Wood|N/A
635|Cable|0|3|Manufacture[Item]|Iron|N/A
94|Ladder|0|3|Manufacture[Item]|Wood|N/A
3|Life Crystal|0|3|Manufacture[Item]|Magic|N/A
863|Pan|0|3|Manufacture[Item]|Iron|N/A
2655|Phosphorylation|0|3|Manufacture[Item]|Iron|N/A
2733|White Desk Lamp|0|3|Manufacture[Decor]|Steel|N/A
3242|Metal Gear|0|4|Manufacture[Item]|Iron|N/A
1517|Resin|0|4|Manufacture[Item]|Iron|N/A
627|Round Saw|0|4|Manufacture[Item]|Iron|N/A
316|Integrated Flavor|0|5|Manufacture[Item]|Flower|N/A
488|Rectifier Line|0|5|Manufacture[Item]|Iron|N/A
868|Signal Line|0|5|Manufacture[Item]|Iron|N/A
2574|Charcoal Powder|0|6|Manufacture[Item]|Nylon|N/A
